id,pre_order_id,quantity,vendor_concession_id,vendor_concession_type,vendor_concession_name,vendor_concession_description,vendor_concession_image,vendor_additional_data,vendor_concession_price,vendor_discount_price,vnpay_concession_price,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_discount,promotion_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,created_by,created_by_hash
14,14,2,CON00014,COMBO,Combo Couple,Bắp + Nước,https://img/con14.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,15,1,CON00015,COMBO,Combo Couple,Bắp + Nước,https://img/con15.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,16,2,CON00016,COMBO,Combo Couple,Bắp + Nước,https://img/con16.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
17,17,2,CON00017,COMBO,Combo Couple,Bắp + Nước,https://img/con17.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,18,2,CON00018,COMBO,Combo Couple,Bắp + Nước,https://img/con18.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-13 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,19,2,CON00019,COMBO,Combo Couple,Bắp + Nước,https://img/con19.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
20,20,2,CON00020,COMBO,Combo Couple,Bắp + Nước,https://img/con20.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,21,1,CON00021,COMBO,Combo Couple,Bắp + Nước,https://img/con21.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,22,1,CON00022,COMBO,Combo Couple,Bắp + Nước,https://img/con22.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,23,1,CON00023,COMBO,Combo Couple,Bắp + Nước,https://img/con23.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,24,2,CON00024,COMBO,Combo Couple,Bắp + Nước,https://img/con24.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,25,1,CON00025,COMBO,Combo Couple,Bắp + Nước,https://img/con25.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-11 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,26,1,CON00026,COMBO,Combo Couple,Bắp + Nước,https://img/con26.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-28 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,27,2,CON00027,COMBO,Combo Couple,Bắp + Nước,https://img/con27.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-13 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,28,2,CON00028,COMBO,Combo Couple,Bắp + Nước,https://img/con28.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,29,1,CON00029,COMBO,Combo Couple,Bắp + Nước,https://img/con29.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
30,30,2,CON00030,COMBO,Combo Couple,Bắp + Nước,https://img/con30.jpg,{},89000,0,89000,,,,normal,0,0,0,0,0,0,2025-11-16 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
