id,session_time,session_version,session_dimension,version_type,session_type,vendor_id,vendor_session_id,vendor_film_id,vendor_cinema_id,vendor_room_id,vendor_room_name_vi,vendor_room_name_en,film_id,cinema_id,location_id,status,created_date,created_by,created_by_hash,modified_date,modified_by
11,2025-12-15 04:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,3,VND-S00011,VND-F005,VND-C001,R08,Phòng 8,Room 5,5,1,5,active,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
12,2025-12-21 15:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,4,VND-S00012,VND-F005,VND-C006,R03,Phòng 6,Room 5,5,6,3,active,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
13,2025-12-24 14:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,2,VND-S00013,VND-F004,VND-C004,R04,Phòng 10,Room 2,4,4,4,active,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
14,2025-12-20 15:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,2,VND-S00014,VND-F002,VND-C003,R10,Phòng 4,Room 1,2,3,4,active,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system
15,2025-12-16 03:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,6,VND-S00015,VND-F002,VND-C005,R04,Phòng 8,Room 5,2,5,5,active,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
16,2025-12-18 04:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,6,VND-S00016,VND-F004,VND-C001,R10,Phòng 2,Room 1,4,1,4,active,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-12 17:33:29.000000,system
17,2025-12-17 04:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,1,VND-S00017,VND-F004,VND-C007,R02,Phòng 4,Room 7,4,7,2,active,2025-11-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system
18,2025-12-20 08:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,6,VND-S00018,VND-F006,VND-C002,R03,Phòng 1,Room 10,6,2,4,active,2025-11-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
19,2025-12-13 13:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,5,VND-S00019,VND-F005,VND-C002,R05,Phòng 6,Room 7,5,2,4,active,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
20,2025-12-22 04:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,4,VND-S00020,VND-F005,VND-C002,R05,Phòng 9,Room 8,5,2,3,active,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
21,2025-12-16 15:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,6,VND-S00021,VND-F006,VND-C005,R03,Phòng 10,Room 7,6,5,3,active,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system
22,2025-12-13 10:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,6,VND-S00022,VND-F006,VND-C003,R10,Phòng 7,Room 9,6,3,3,active,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
23,2025-12-22 10:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,4,VND-S00023,VND-F005,VND-C003,R10,Phòng 9,Room 5,5,3,2,active,2025-11-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
24,2025-12-20 07:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,6,VND-S00024,VND-F001,VND-C005,R02,Phòng 5,Room 4,1,5,3,active,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system
25,2025-12-18 13:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,1,VND-S00025,VND-F001,VND-C001,R09,Phòng 6,Room 7,1,1,4,active,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system
26,2025-12-13 05:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,5,VND-S00026,VND-F006,VND-C005,R07,Phòng 9,Room 7,6,5,1,active,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system
27,2025-12-22 13:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,1,VND-S00027,VND-F003,VND-C004,R09,Phòng 6,Room 10,3,4,5,active,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-12 17:33:29.000000,system
28,2025-12-22 03:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,1,VND-S00028,VND-F003,VND-C002,R07,Phòng 4,Room 10,3,2,3,active,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system
29,2025-12-20 09:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,3,VND-S00029,VND-F001,VND-C001,R06,Phòng 1,Room 7,1,1,3,active,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
30,2025-12-27 09:33:29.000000,subtitling,Film3D,VER_Film3D_SUB,nowShowing,5,VND-S00030,VND-F003,VND-C008,R08,Phòng 2,Room 3,3,8,3,active,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
31,2025-12-15 12:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,3,VND-S00031,VND-F004,VND-C001,R09,Phòng 2,Room 10,4,1,1,active,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
32,2025-12-25 02:33:29.000000,subtitling,Film3D,VER_Film3D_SUB,nowShowing,6,VND-S00032,VND-F005,VND-C006,R06,Phòng 9,Room 5,5,6,3,active,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
33,2025-12-20 04:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,4,VND-S00033,VND-F004,VND-C008,R05,Phòng 2,Room 2,4,8,1,active,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
34,2025-12-26 02:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,3,VND-S00034,VND-F001,VND-C006,R04,Phòng 10,Room 5,1,6,5,active,2025-12-07 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
35,2025-12-15 07:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,1,VND-S00035,VND-F003,VND-C006,R05,Phòng 7,Room 5,3,6,1,active,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system
36,2025-12-19 09:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,3,VND-S00036,VND-F004,VND-C007,R05,Phòng 3,Room 9,4,7,1,active,2025-12-07 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-12 17:33:29.000000,system
37,2025-12-18 02:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,2,VND-S00037,VND-F001,VND-C006,R03,Phòng 10,Room 6,1,6,3,active,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-12 17:33:29.000000,system
38,2025-12-24 09:33:29.000000,subtitling,Film3D,VER_Film3D_SUB,nowShowing,4,VND-S00038,VND-F002,VND-C002,R01,Phòng 2,Room 7,2,2,4,active,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-12 17:33:29.000000,system
39,2025-12-19 09:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,1,VND-S00039,VND-F006,VND-C002,R05,Phòng 5,Room 9,6,2,5,active,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
40,2025-12-16 10:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,3,VND-S00040,VND-F004,VND-C001,R07,Phòng 8,Room 10,4,1,3,active,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-09 17:33:29.000000,system
41,2025-12-18 02:33:29.000000,dubbing,Film2D,VER_Film2D_DUB,nowShowing,4,VND-S00041,VND-F003,VND-C006,R09,Phòng 5,Room 2,3,6,2,active,2025-11-13 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system
42,2025-12-25 06:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,2,VND-S00042,VND-F001,VND-C001,R03,Phòng 6,Room 4,1,1,1,active,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
43,2025-12-17 11:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,5,VND-S00043,VND-F005,VND-C003,R04,Phòng 3,Room 5,5,3,4,active,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
44,2025-12-18 13:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,5,VND-S00044,VND-F002,VND-C001,R06,Phòng 8,Room 1,2,1,1,active,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system
45,2025-12-15 12:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,1,VND-S00045,VND-F004,VND-C005,R10,Phòng 7,Room 4,4,5,3,active,2025-11-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
46,2025-12-27 09:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,6,VND-S00046,VND-F001,VND-C008,R03,Phòng 1,Room 3,1,8,4,active,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system
47,2025-12-13 04:33:29.000000,dubbing,IMAX,VER_IMAX_DUB,nowShowing,2,VND-S00047,VND-F005,VND-C007,R10,Phòng 5,Room 4,5,7,3,active,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system
48,2025-12-13 03:33:29.000000,dubbing,Film3D,VER_Film3D_DUB,nowShowing,5,VND-S00048,VND-F005,VND-C005,R01,Phòng 7,Room 3,5,5,5,active,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system
49,2025-12-15 10:33:29.000000,subtitling,Film2D,VER_Film2D_SUB,nowShowing,4,VND-S00049,VND-F005,VND-C005,R02,Phòng 10,Room 3,5,5,2,active,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system
50,2025-12-20 04:33:29.000000,subtitling,IMAX,VER_IMAX_SUB,nowShowing,1,VND-S00050,VND-F005,VND-C008,R06,Phòng 9,Room 2,5,8,1,active,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system
