id,name,order_id,quantity,vendor_concession_id,vendor_concession_type,vendor_concession_name,vendor_concession_description,vendor_concession_image,vendor_additional_data,vendor_concession_price,vendor_discount_price,vendor_sub_fee,vendor_charge_amount,vendor_reconciliation_price,vnpay_concession_price,vnpay_discount_price,vnpay_final_price,vnpay_profit,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,modified_date,modified_by,created_by,created_by_hash
11,Bắp Lớn,8,2,CON00011,COMBO,Bắp Lớn,Bắp Lớn,https://img/con11.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,Bắp Lớn,8,1,CON00012,COMBO,Bắp Lớn,Bắp Lớn,https://img/con12.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,Combo Couple,9,1,CON00013,COMBO,Combo Couple,Combo Couple,https://img/con13.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
14,Coca Lớn,10,1,CON00014,COMBO,Coca Lớn,Coca Lớn,https://img/con14.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-27 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,Combo Couple,11,2,CON00015,COMBO,Combo Couple,Combo Couple,https://img/con15.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-17 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,Combo Solo,11,2,CON00016,COMBO,Combo Solo,Combo Solo,https://img/con16.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-26 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
17,Combo Solo,12,2,CON00017,COMBO,Combo Solo,Combo Solo,https://img/con17.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-05 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,Combo Couple,12,1,CON00018,COMBO,Combo Couple,Combo Couple,https://img/con18.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-02 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,Coca Lớn,13,1,CON00019,COMBO,Coca Lớn,Coca Lớn,https://img/con19.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-09 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
20,Coca Lớn,14,2,CON00020,COMBO,Coca Lớn,Coca Lớn,https://img/con20.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,Bắp Lớn,14,2,CON00021,COMBO,Bắp Lớn,Bắp Lớn,https://img/con21.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,Combo Solo,15,1,CON00022,COMBO,Combo Solo,Combo Solo,https://img/con22.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,Coca Lớn,16,2,CON00023,COMBO,Coca Lớn,Coca Lớn,https://img/con23.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,Combo Couple,17,1,CON00024,COMBO,Combo Couple,Combo Couple,https://img/con24.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,Combo Solo,17,2,CON00025,COMBO,Combo Solo,Combo Solo,https://img/con25.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-09 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,Combo Couple,18,2,CON00026,COMBO,Combo Couple,Combo Couple,https://img/con26.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-11 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,Combo Couple,19,1,CON00027,COMBO,Combo Couple,Combo Couple,https://img/con27.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,Coca Lớn,19,2,CON00028,COMBO,Coca Lớn,Coca Lớn,https://img/con28.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,Bắp Lớn,20,2,CON00029,COMBO,Bắp Lớn,Bắp Lớn,https://img/con29.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
30,Combo Solo,20,1,CON00030,COMBO,Combo Solo,Combo Solo,https://img/con30.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-27 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
31,Coca Lớn,21,2,CON00031,COMBO,Coca Lớn,Coca Lớn,https://img/con31.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-30 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
32,Combo Solo,21,1,CON00032,COMBO,Combo Solo,Combo Solo,https://img/con32.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
33,Combo Couple,22,2,CON00033,COMBO,Combo Couple,Combo Couple,https://img/con33.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
34,Bắp Lớn,23,1,CON00034,COMBO,Bắp Lớn,Bắp Lớn,https://img/con34.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
35,Combo Solo,23,2,CON00035,COMBO,Combo Solo,Combo Solo,https://img/con35.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
36,Combo Solo,24,1,CON00036,COMBO,Combo Solo,Combo Solo,https://img/con36.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
37,Bắp Lớn,25,1,CON00037,COMBO,Bắp Lớn,Bắp Lớn,https://img/con37.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-28 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
38,Bắp Lớn,25,2,CON00038,COMBO,Bắp Lớn,Bắp Lớn,https://img/con38.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-15 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
39,Combo Couple,26,2,CON00039,COMBO,Combo Couple,Combo Couple,https://img/con39.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
40,Coca Lớn,26,1,CON00040,COMBO,Coca Lớn,Coca Lớn,https://img/con40.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-12 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
41,Bắp Lớn,27,2,CON00041,COMBO,Bắp Lớn,Bắp Lớn,https://img/con41.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-29 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
42,Combo Couple,27,2,CON00042,COMBO,Combo Couple,Combo Couple,https://img/con42.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-30 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
43,Bắp Lớn,28,2,CON00043,COMBO,Bắp Lớn,Bắp Lớn,https://img/con43.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-14 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
44,Bắp Lớn,29,1,CON00044,COMBO,Bắp Lớn,Bắp Lớn,https://img/con44.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-27 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
45,Combo Solo,29,2,CON00045,COMBO,Combo Solo,Combo Solo,https://img/con45.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
46,Bắp Lớn,30,2,CON00046,COMBO,Bắp Lớn,Bắp Lớn,https://img/con46.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-29 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
47,Coca Lớn,30,2,CON00047,COMBO,Coca Lớn,Coca Lớn,https://img/con47.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-02 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
48,Coca Lớn,31,1,CON00048,COMBO,Coca Lớn,Coca Lớn,https://img/con48.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
49,Combo Solo,31,2,CON00049,COMBO,Combo Solo,Combo Solo,https://img/con49.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
50,Combo Solo,32,2,CON00050,COMBO,Combo Solo,Combo Solo,https://img/con50.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
51,Combo Couple,32,2,CON00051,COMBO,Combo Couple,Combo Couple,https://img/con51.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-24 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
52,Bắp Lớn,33,2,CON00052,COMBO,Bắp Lớn,Bắp Lớn,https://img/con52.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
53,Coca Lớn,34,2,CON00053,COMBO,Coca Lớn,Coca Lớn,https://img/con53.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
54,Combo Couple,34,2,CON00054,COMBO,Combo Couple,Combo Couple,https://img/con54.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
55,Combo Couple,35,2,CON00055,COMBO,Combo Couple,Combo Couple,https://img/con55.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-04 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
56,Combo Couple,35,1,CON00056,COMBO,Combo Couple,Combo Couple,https://img/con56.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-15 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
57,Combo Couple,36,1,CON00057,COMBO,Combo Couple,Combo Couple,https://img/con57.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
58,Coca Lớn,36,1,CON00058,COMBO,Coca Lớn,Coca Lớn,https://img/con58.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
59,Combo Couple,37,1,CON00059,COMBO,Combo Couple,Combo Couple,https://img/con59.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
60,Combo Solo,38,2,CON00060,COMBO,Combo Solo,Combo Solo,https://img/con60.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
61,Combo Couple,38,2,CON00061,COMBO,Combo Couple,Combo Couple,https://img/con61.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
62,Bắp Lớn,39,2,CON00062,COMBO,Bắp Lớn,Bắp Lớn,https://img/con62.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
63,Coca Lớn,39,2,CON00063,COMBO,Coca Lớn,Coca Lớn,https://img/con63.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-09 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
64,Coca Lớn,40,1,CON00064,COMBO,Coca Lớn,Coca Lớn,https://img/con64.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-17 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
65,Coca Lớn,40,1,CON00065,COMBO,Coca Lớn,Coca Lớn,https://img/con65.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
66,Coca Lớn,41,2,CON00066,COMBO,Coca Lớn,Coca Lớn,https://img/con66.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
67,Combo Couple,42,1,CON00067,COMBO,Combo Couple,Combo Couple,https://img/con67.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-24 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
68,Coca Lớn,43,1,CON00068,COMBO,Coca Lớn,Coca Lớn,https://img/con68.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-12 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
69,Bắp Lớn,43,1,CON00069,COMBO,Bắp Lớn,Bắp Lớn,https://img/con69.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-11-14 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
70,Bắp Lớn,44,1,CON00070,COMBO,Bắp Lớn,Bắp Lớn,https://img/con70.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-12-01 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
71,Combo Couple,45,2,CON00071,COMBO,Combo Couple,Combo Couple,https://img/con71.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
72,Combo Solo,46,1,CON00072,COMBO,Combo Solo,Combo Solo,https://img/con72.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
73,Combo Couple,46,1,CON00073,COMBO,Combo Couple,Combo Couple,https://img/con73.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-11 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
74,Bắp Lớn,47,1,CON00074,COMBO,Bắp Lớn,Bắp Lớn,https://img/con74.jpg,{},45000,0,0,45000,45000,45000,0,45000,1350,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
75,Combo Solo,47,1,CON00075,COMBO,Combo Solo,Combo Solo,https://img/con75.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
76,Combo Solo,48,2,CON00076,COMBO,Combo Solo,Combo Solo,https://img/con76.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
77,Combo Couple,49,1,CON00077,COMBO,Combo Couple,Combo Couple,https://img/con77.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-04 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
78,Combo Couple,50,2,CON00078,COMBO,Combo Couple,Combo Couple,https://img/con78.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
79,Combo Solo,50,1,CON00079,COMBO,Combo Solo,Combo Solo,https://img/con79.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-19 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
80,Combo Couple,51,2,CON00080,COMBO,Combo Couple,Combo Couple,https://img/con80.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-11-27 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
81,Coca Lớn,52,1,CON00081,COMBO,Coca Lớn,Coca Lớn,https://img/con81.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
82,Coca Lớn,53,1,CON00082,COMBO,Coca Lớn,Coca Lớn,https://img/con82.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
83,Combo Solo,54,1,CON00083,COMBO,Combo Solo,Combo Solo,https://img/con83.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-19 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
84,Combo Solo,55,2,CON00084,COMBO,Combo Solo,Combo Solo,https://img/con84.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
85,Combo Couple,56,1,CON00085,COMBO,Combo Couple,Combo Couple,https://img/con85.jpg,{},89000,0,0,89000,89000,89000,0,89000,2670,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
86,Combo Solo,56,1,CON00086,COMBO,Combo Solo,Combo Solo,https://img/con86.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
87,Combo Solo,57,2,CON00087,COMBO,Combo Solo,Combo Solo,https://img/con87.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-30 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
88,Coca Lớn,57,1,CON00088,COMBO,Coca Lớn,Coca Lớn,https://img/con88.jpg,{},35000,0,0,35000,35000,35000,0,35000,1050,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
89,Combo Solo,58,2,CON00089,COMBO,Combo Solo,Combo Solo,https://img/con89.jpg,{},59000,0,0,59000,59000,59000,0,59000,1770,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
