id,pre_order_id,vendor_seat_id,vendor_seat_type,vendor_seat_name,vendor_additional_data,vendor_seat_price,vendor_discount_price,vnpay_seat_type,vnpay_seat_price,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_discount,promotion_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,created_by,created_by_hash
20,10,SEAT000020,VIP,H12,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,10,SEAT000021,NORMAL,H14,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,10,SEAT000022,NORMAL,B1,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,11,SEAT000023,VIP,B6,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-11 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,12,SEAT000024,NORMAL,I12,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,12,SEAT000025,NORMAL,C2,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,13,SEAT000026,VIP,F3,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-29 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,13,SEAT000027,NORMAL,C3,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,13,SEAT000028,VIP,F15,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,14,SEAT000029,NORMAL,J3,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
30,14,SEAT000030,VIP,I4,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
31,14,SEAT000031,NORMAL,B4,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
32,15,SEAT000032,VIP,D15,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
33,15,SEAT000033,NORMAL,C14,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
34,15,SEAT000034,VIP,A14,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
35,16,SEAT000035,VIP,F9,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-16 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
36,17,SEAT000036,VIP,G7,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
37,17,SEAT000037,VIP,I12,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
38,18,SEAT000038,VIP,B10,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
39,19,SEAT000039,NORMAL,B10,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
40,19,SEAT000040,VIP,E6,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-11 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
41,19,SEAT000041,NORMAL,G8,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-18 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
42,20,SEAT000042,VIP,D10,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-03 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
43,20,SEAT000043,VIP,C5,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
44,20,SEAT000044,NORMAL,H5,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
45,21,SEAT000045,NORMAL,C14,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
46,22,SEAT000046,VIP,D13,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-30 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
47,23,SEAT000047,VIP,F13,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-18 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
48,23,SEAT000048,NORMAL,A5,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
49,24,SEAT000049,NORMAL,B7,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
50,25,SEAT000050,NORMAL,B13,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
51,25,SEAT000051,VIP,G15,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-18 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
52,25,SEAT000052,NORMAL,A7,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
53,26,SEAT000053,VIP,C8,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
54,26,SEAT000054,VIP,A14,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
55,27,SEAT000055,NORMAL,E6,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
56,27,SEAT000056,VIP,I2,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
57,27,SEAT000057,VIP,C5,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-11 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
58,28,SEAT000058,NORMAL,I5,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
59,28,SEAT000059,NORMAL,G5,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
60,28,SEAT000060,VIP,D7,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
61,29,SEAT000061,NORMAL,C12,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-30 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
62,29,SEAT000062,NORMAL,F13,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
63,30,SEAT000063,VIP,E7,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-21 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
64,31,SEAT000064,NORMAL,H3,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
65,31,SEAT000065,VIP,F4,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
66,32,SEAT000066,NORMAL,C3,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
67,33,SEAT000067,NORMAL,E14,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
68,34,SEAT000068,NORMAL,B13,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
69,34,SEAT000069,VIP,A3,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
70,34,SEAT000070,NORMAL,C10,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
71,35,SEAT000071,VIP,C3,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
72,36,SEAT000072,NORMAL,B2,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
73,36,SEAT000073,NORMAL,G4,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-29 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
74,37,SEAT000074,VIP,J5,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
75,38,SEAT000075,NORMAL,I6,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
76,39,SEAT000076,VIP,C13,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
77,39,SEAT000077,NORMAL,H14,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
78,40,SEAT000078,VIP,I2,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
79,40,SEAT000079,VIP,F3,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
80,40,SEAT000080,NORMAL,G13,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-30 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
81,41,SEAT000081,NORMAL,H12,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
82,42,SEAT000082,NORMAL,G10,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
83,42,SEAT000083,NORMAL,A15,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
84,42,SEAT000084,VIP,F6,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
85,43,SEAT000085,VIP,E5,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
86,43,SEAT000086,NORMAL,C12,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
87,44,SEAT000087,NORMAL,J3,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
88,44,SEAT000088,VIP,F2,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-13 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
89,44,SEAT000089,NORMAL,D4,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
90,45,SEAT000090,VIP,G7,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-16 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
91,45,SEAT000091,NORMAL,H4,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
92,45,SEAT000092,VIP,G13,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
93,46,SEAT000093,VIP,I6,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
94,46,SEAT000094,VIP,F10,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
95,47,SEAT000095,NORMAL,J5,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
96,47,SEAT000096,VIP,J8,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
97,48,SEAT000097,VIP,E12,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
98,48,SEAT000098,NORMAL,D5,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
99,48,SEAT000099,NORMAL,D6,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
100,49,SEAT000100,NORMAL,D15,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
101,50,SEAT000101,VIP,I9,{},120000,0,vip,120000,,,,normal,0,0,0,0,0,0,2025-11-22 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
102,50,SEAT000102,NORMAL,C13,{},85000,0,normal,85000,,,,normal,0,0,0,0,0,0,2025-12-11 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
