id,name,order_id,vendor_seat_id,vendor_seat_type,vendor_seat_name,vendor_additional_data,vendor_seat_price,vendor_discount_price,vendor_sub_fee,vendor_charge_amount,vendor_reconciliation_price,vendor_fee,vnpay_seat_type,vnpay_seat_price,vnpay_final_price,vnpay_profit,vnpay_fee,campaign_id,sub_campaign_id,campaign_code,campaign_type,campaign_vendor_discount,campaign_vnpay_discount,promotion_vendor_amount,promotion_vnpay_amount,created_date,modified_date,modified_by,created_by,created_by_hash
17,D7,8,SEAT000017,VIP,D7,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,B8,8,SEAT000018,VIP,B8,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-02 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,D6,9,SEAT000019,NORMAL,D6,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
20,I3,9,SEAT000020,VIP,I3,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,H9,10,SEAT000021,COUPLE,H9,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,C3,10,SEAT000022,NORMAL,C3,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-05 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,J7,11,SEAT000023,VIP,J7,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,I14,11,SEAT000024,NORMAL,I14,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-09 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,E14,11,SEAT000025,COUPLE,E14,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,H4,12,SEAT000026,NORMAL,H4,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,C13,13,SEAT000027,VIP,C13,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-17 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,C11,13,SEAT000028,VIP,C11,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,I9,14,SEAT000029,NORMAL,I9,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
30,F2,14,SEAT000030,VIP,F2,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
31,H7,14,SEAT000031,COUPLE,H7,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
32,B5,15,SEAT000032,NORMAL,B5,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-14 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
33,J10,15,SEAT000033,VIP,J10,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
34,D1,16,SEAT000034,VIP,D1,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
35,D14,16,SEAT000035,COUPLE,D14,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
36,H11,17,SEAT000036,NORMAL,H11,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
37,B12,18,SEAT000037,NORMAL,B12,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
38,A1,18,SEAT000038,NORMAL,A1,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-04 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
39,J8,19,SEAT000039,COUPLE,J8,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-28 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
40,E15,19,SEAT000040,VIP,E15,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-26 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
41,J14,20,SEAT000041,NORMAL,J14,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
42,D1,20,SEAT000042,VIP,D1,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
43,B2,21,SEAT000043,COUPLE,B2,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-30 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
44,D15,21,SEAT000044,VIP,D15,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-12 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
45,G14,22,SEAT000045,COUPLE,G14,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
46,F15,22,SEAT000046,VIP,F15,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-09 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
47,E15,22,SEAT000047,COUPLE,E15,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
48,F1,23,SEAT000048,COUPLE,F1,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-17 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
49,J13,23,SEAT000049,NORMAL,J13,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
50,G6,23,SEAT000050,VIP,G6,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-14 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
51,E8,23,SEAT000051,COUPLE,E8,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
52,D13,24,SEAT000052,VIP,D13,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
53,H5,25,SEAT000053,NORMAL,H5,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
54,H14,25,SEAT000054,COUPLE,H14,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-24 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
55,C2,25,SEAT000055,COUPLE,C2,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-19 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
56,C2,26,SEAT000056,COUPLE,C2,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-10 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
57,C4,26,SEAT000057,COUPLE,C4,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
58,J9,26,SEAT000058,COUPLE,J9,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-27 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
59,E10,26,SEAT000059,VIP,E10,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
60,E1,27,SEAT000060,VIP,E1,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
61,A10,28,SEAT000061,NORMAL,A10,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
62,D6,29,SEAT000062,COUPLE,D6,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-05 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
63,F14,29,SEAT000063,COUPLE,F14,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-11 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
64,I1,29,SEAT000064,VIP,I1,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
65,I12,29,SEAT000065,NORMAL,I12,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-10 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
66,D2,30,SEAT000066,VIP,D2,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-14 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
67,H11,30,SEAT000067,VIP,H11,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
68,E3,30,SEAT000068,NORMAL,E3,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-12 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
69,I6,31,SEAT000069,NORMAL,I6,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-01 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
70,F8,31,SEAT000070,NORMAL,F8,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-03 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
71,G10,31,SEAT000071,NORMAL,G10,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
72,J10,32,SEAT000072,COUPLE,J10,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
73,D3,32,SEAT000073,COUPLE,D3,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-28 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
74,A12,33,SEAT000074,VIP,A12,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-26 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
75,G10,34,SEAT000075,VIP,G10,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
76,J11,35,SEAT000076,NORMAL,J11,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
77,G7,35,SEAT000077,VIP,G7,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-29 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
78,B13,35,SEAT000078,COUPLE,B13,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
79,E4,36,SEAT000079,VIP,E4,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-24 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
80,F14,36,SEAT000080,NORMAL,F14,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
81,I13,37,SEAT000081,NORMAL,I13,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-01 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
82,G13,37,SEAT000082,NORMAL,G13,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-30 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
83,E13,37,SEAT000083,COUPLE,E13,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-25 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
84,H12,38,SEAT000084,COUPLE,H12,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-18 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
85,B3,38,SEAT000085,COUPLE,B3,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
86,G4,39,SEAT000086,VIP,G4,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-23 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
87,H12,39,SEAT000087,VIP,H12,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-01 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
88,C12,39,SEAT000088,VIP,C12,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-08 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
89,D14,39,SEAT000089,VIP,D14,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-19 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
90,F4,40,SEAT000090,NORMAL,F4,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-07 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
91,C9,40,SEAT000091,NORMAL,C9,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-22 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
92,H13,40,SEAT000092,VIP,H13,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-11 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
93,F7,41,SEAT000093,NORMAL,F7,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-15 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
94,H10,41,SEAT000094,NORMAL,H10,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-04 17:33:29.000000,2025-12-12 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
95,J9,41,SEAT000095,NORMAL,J9,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-06 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
96,A6,41,SEAT000096,NORMAL,A6,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-12-12 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
97,B5,42,SEAT000097,NORMAL,B5,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-20 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
98,E4,43,SEAT000098,NORMAL,E4,{},85000,0,0,85000,85000,1700,normal,85000,85000,4250,850,,,,normal,0,0,0,0,2025-11-21 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
99,D6,44,SEAT000099,COUPLE,D6,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-13 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
100,C13,44,SEAT000100,VIP,C13,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-04 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
101,G1,44,SEAT000101,VIP,G1,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-12-02 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
102,C3,45,SEAT000102,COUPLE,C3,{},200000,0,0,200000,200000,4000,couple,200000,200000,10000,2000,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
103,F10,45,SEAT000103,VIP,F10,{},120000,0,0,120000,120000,2400,vip,120000,120000,6000,1200,,,,normal,0,0,0,0,2025-11-16 17:33:29.000000,2025-12-09 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f
