id,api_version,bank_id,bank_name,bank_identity,bank_identity_hash,bank_channel_id,promotion_id,promotion_code,promotion_amount,promotion_vnpay_amount,promotion_vendor_amount,promotion_bank_amount,promotion_hold_date,promotion_hold_response,campaign_id,sub_campaign_id,campaign_code,campaign_type,cinema_id,cinema_name_vi,cinema_name_en,cinema_address,location_id,film_id,film_name_vi,film_name_en,session_id,session_type,session_dimension,session_time,session_version,session_version_type,vendor_id,vendor_name,vendor_cinema_id,vendor_film_id,vendor_film_name_vi,vendor_film_name_en,vendor_session_id,vendor_room_id,vendor_room_name_vi,vendor_room_name_en,created_date,created_by,created_by_hash
11,v4,3,VNPAY,user11,81115e31e22a5801b197750ec12d7a51,CH03,PROMO00011,TET2025,50000,35000,15000,0,2025-11-14 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,3,4,Film VI,Film EN,18,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C006,VND-F004,Film VI,Film EN,VND-S00018,R01,Phòng 1,Room 1,2025-11-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
12,v4,6,VNPAY,user12,bd35283fe8fcfd77d7c05a8bf2adb85c,CH06,PROMO00012,TET2025,50000,35000,15000,0,2025-12-01 17:33:29.000000,OK,1,1,TET2025,normal,4,Cinema,Cinema EN,Address,4,1,Film VI,Film EN,10,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C004,VND-F001,Film VI,Film EN,VND-S00010,R01,Phòng 1,Room 1,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
13,v4,5,VNPAY,user13,1834e148b518a43a37e04a4e4fbcee1e,CH05,PROMO00013,TET2025,50000,35000,15000,0,2025-12-07 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,2,1,Film VI,Film EN,7,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C006,VND-F001,Film VI,Film EN,VND-S00007,R01,Phòng 1,Room 1,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
14,v4,8,VNPAY,user14,daf7996f88742675acb3d0f85a8069d0,CH08,PROMO00014,TET2025,50000,35000,15000,0,2025-11-21 17:33:29.000000,OK,1,1,TET2025,normal,5,Cinema,Cinema EN,Address,4,2,Film VI,Film EN,39,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C005,VND-F002,Film VI,Film EN,VND-S00039,R01,Phòng 1,Room 1,2025-11-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
15,v4,7,VNPAY,user15,2b8b66f64b605318593982b059a08dae,CH07,PROMO00015,TET2025,50000,35000,15000,0,2025-11-14 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,5,2,Film VI,Film EN,8,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C007,VND-F002,Film VI,Film EN,VND-S00008,R01,Phòng 1,Room 1,2025-11-30 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
16,v4,5,VNPAY,user16,4de4153595c0977d2389d0880547bd3a,CH05,PROMO00016,TET2025,50000,35000,15000,0,2025-11-28 17:33:29.000000,OK,1,1,TET2025,normal,8,Cinema,Cinema EN,Address,4,1,Film VI,Film EN,28,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C008,VND-F001,Film VI,Film EN,VND-S00028,R01,Phòng 1,Room 1,2025-11-29 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
17,v4,3,VNPAY,user17,2a60ff641c890283b1d070f827cf9c0c,CH03,PROMO00017,TET2025,50000,35000,15000,0,2025-11-14 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,3,5,Film VI,Film EN,42,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C003,VND-F005,Film VI,Film EN,VND-S00042,R01,Phòng 1,Room 1,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
18,v4,1,VNPAY,user18,ebc835d1b43e63d1ba35af810da3a23e,CH01,PROMO00018,TET2025,50000,35000,15000,0,2025-11-27 17:33:29.000000,OK,1,1,TET2025,normal,4,Cinema,Cinema EN,Address,1,4,Film VI,Film EN,48,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C004,VND-F004,Film VI,Film EN,VND-S00048,R01,Phòng 1,Room 1,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
19,v4,6,VNPAY,user19,0b6ecb3aa9b23589fb9e314b46c832d9,CH06,PROMO00019,TET2025,50000,35000,15000,0,2025-11-22 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,4,6,Film VI,Film EN,5,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C006,VND-F006,Film VI,Film EN,VND-S00005,R01,Phòng 1,Room 1,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
20,v4,2,VNPAY,user20,7febe54e79096749ac43dc6c2e3e5d4d,CH02,PROMO00020,TET2025,50000,35000,15000,0,2025-11-21 17:33:29.000000,OK,1,1,TET2025,normal,8,Cinema,Cinema EN,Address,2,1,Film VI,Film EN,6,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C008,VND-F001,Film VI,Film EN,VND-S00006,R01,Phòng 1,Room 1,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
21,v4,3,VNPAY,user21,8fab3a60577befd765cde83f2737cd1a,CH03,PROMO00021,TET2025,50000,35000,15000,0,2025-11-13 17:33:29.000000,OK,1,1,TET2025,normal,8,Cinema,Cinema EN,Address,3,5,Film VI,Film EN,49,nowShowing,Film2D,2025-12-10 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C008,VND-F005,Film VI,Film EN,VND-S00049,R01,Phòng 1,Room 1,2025-11-30 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
22,v4,3,VNPAY,user22,b999205cdacd2c4516598d99b420d297,CH03,PROMO00022,TET2025,50000,35000,15000,0,2025-12-10 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,3,2,Film VI,Film EN,50,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C003,VND-F002,Film VI,Film EN,VND-S00050,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
23,v4,5,VNPAY,user23,2a0fff6e36fbc6a21f7b065f24a3ffb4,CH05,PROMO00023,TET2025,50000,35000,15000,0,2025-11-29 17:33:29.000000,OK,1,1,TET2025,normal,4,Cinema,Cinema EN,Address,5,4,Film VI,Film EN,31,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C004,VND-F004,Film VI,Film EN,VND-S00031,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
24,v4,1,VNPAY,user24,65303a0ec5984ab62d102031a5c9be89,CH01,PROMO00024,TET2025,50000,35000,15000,0,2025-11-23 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,2,6,Film VI,Film EN,25,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C007,VND-F006,Film VI,Film EN,VND-S00025,R01,Phòng 1,Room 1,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
25,v4,6,VNPAY,user25,dab53605c85e2eff2f2192e08b772cbc,CH06,PROMO00025,TET2025,50000,35000,15000,0,2025-11-22 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,4,1,Film VI,Film EN,49,nowShowing,Film2D,2025-12-12 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C007,VND-F001,Film VI,Film EN,VND-S00049,R01,Phòng 1,Room 1,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
26,v4,8,VNPAY,user26,6356b9f65e6e775b3feb7996bd3e1ba3,CH08,PROMO00026,TET2025,50000,35000,15000,0,2025-11-18 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,1,5,Film VI,Film EN,9,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C003,VND-F005,Film VI,Film EN,VND-S00009,R01,Phòng 1,Room 1,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
27,v4,7,VNPAY,user27,590b1a8287729e75223a77d4f64fb13d,CH07,PROMO00027,TET2025,50000,35000,15000,0,2025-12-11 17:33:29.000000,OK,1,1,TET2025,normal,4,Cinema,Cinema EN,Address,5,3,Film VI,Film EN,12,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C004,VND-F003,Film VI,Film EN,VND-S00012,R01,Phòng 1,Room 1,2025-12-10 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
28,v4,6,VNPAY,user28,fdc86230e908634cb03015f1a016ffa1,CH06,PROMO00028,TET2025,50000,35000,15000,0,2025-11-20 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,3,6,Film VI,Film EN,32,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C002,VND-F006,Film VI,Film EN,VND-S00032,R01,Phòng 1,Room 1,2025-11-29 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
29,v4,2,VNPAY,user29,df3c4035da126a48f484133358bedf23,CH02,PROMO00029,TET2025,50000,35000,15000,0,2025-11-13 17:33:29.000000,OK,1,1,TET2025,normal,5,Cinema,Cinema EN,Address,5,2,Film VI,Film EN,40,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C005,VND-F002,Film VI,Film EN,VND-S00040,R01,Phòng 1,Room 1,2025-12-07 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
30,v4,8,VNPAY,user30,601fbd496628a2a8ad6186af757273b1,CH08,PROMO00030,TET2025,50000,35000,15000,0,2025-11-25 17:33:29.000000,OK,1,1,TET2025,normal,5,Cinema,Cinema EN,Address,1,4,Film VI,Film EN,38,nowShowing,Film2D,2025-12-10 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C005,VND-F004,Film VI,Film EN,VND-S00038,R01,Phòng 1,Room 1,2025-11-28 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
31,v4,8,VNPAY,user31,4ccb2f3b57e6de1caea8475b13fb5c96,CH08,PROMO00031,TET2025,50000,35000,15000,0,2025-11-25 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,4,6,Film VI,Film EN,2,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C002,VND-F006,Film VI,Film EN,VND-S00002,R01,Phòng 1,Room 1,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
32,v4,2,VNPAY,user32,54a2979a455bec056285887a8137d1bf,CH02,PROMO00032,TET2025,50000,35000,15000,0,2025-11-24 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,2,6,Film VI,Film EN,23,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C002,VND-F006,Film VI,Film EN,VND-S00023,R01,Phòng 1,Room 1,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
33,v4,1,VNPAY,user33,f81e0105e6dcdf3f2e2041d119d1c87b,CH01,PROMO00033,TET2025,50000,35000,15000,0,2025-11-21 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,2,3,Film VI,Film EN,31,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C006,VND-F003,Film VI,Film EN,VND-S00031,R01,Phòng 1,Room 1,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
34,v4,5,VNPAY,user34,4d4ec9499ab2bce1c5c8a565004ac27d,CH05,PROMO00034,TET2025,50000,35000,15000,0,2025-12-09 17:33:29.000000,OK,1,1,TET2025,normal,5,Cinema,Cinema EN,Address,2,6,Film VI,Film EN,42,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C005,VND-F006,Film VI,Film EN,VND-S00042,R01,Phòng 1,Room 1,2025-11-29 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
35,v4,5,VNPAY,user35,3dd5329b7396fda1de5878a24ab7ca98,CH05,PROMO00035,TET2025,50000,35000,15000,0,2025-12-10 17:33:29.000000,OK,1,1,TET2025,normal,8,Cinema,Cinema EN,Address,4,1,Film VI,Film EN,21,nowShowing,Film2D,2025-12-10 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C008,VND-F001,Film VI,Film EN,VND-S00021,R01,Phòng 1,Room 1,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
36,v4,6,VNPAY,user36,06f01542cd526fcfd7624cf9fca3e0e3,CH06,PROMO00036,TET2025,50000,35000,15000,0,2025-11-25 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,2,2,Film VI,Film EN,29,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C003,VND-F002,Film VI,Film EN,VND-S00029,R01,Phòng 1,Room 1,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
37,v4,6,VNPAY,user37,9c10f9996d42387555f8008224c0b8ff,CH06,PROMO00037,TET2025,50000,35000,15000,0,2025-11-16 17:33:29.000000,OK,1,1,TET2025,normal,5,Cinema,Cinema EN,Address,3,1,Film VI,Film EN,1,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C005,VND-F001,Film VI,Film EN,VND-S00001,R01,Phòng 1,Room 1,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
38,v4,2,VNPAY,user38,85a20bcfad4e8153d5fd624c87ed0ae6,CH02,PROMO00038,TET2025,50000,35000,15000,0,2025-11-15 17:33:29.000000,OK,1,1,TET2025,normal,8,Cinema,Cinema EN,Address,2,6,Film VI,Film EN,5,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C008,VND-F006,Film VI,Film EN,VND-S00005,R01,Phòng 1,Room 1,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
39,v4,2,VNPAY,user39,dd69a400ddf28026fe94595eafadd0d1,CH02,PROMO00039,TET2025,50000,35000,15000,0,2025-11-25 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,1,2,Film VI,Film EN,5,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C002,VND-F002,Film VI,Film EN,VND-S00005,R01,Phòng 1,Room 1,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
40,v4,7,VNPAY,user40,39a6bd68eee930e937ba05904fd43794,CH07,PROMO00040,TET2025,50000,35000,15000,0,2025-12-08 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,2,1,Film VI,Film EN,45,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,2,Vendor,VND-C007,VND-F001,Film VI,Film EN,VND-S00045,R01,Phòng 1,Room 1,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
41,v4,1,VNPAY,user41,ce063ef25241f49ef0adef10d7c2ba91,CH01,PROMO00041,TET2025,50000,35000,15000,0,2025-11-29 17:33:29.000000,OK,1,1,TET2025,normal,8,Cinema,Cinema EN,Address,3,2,Film VI,Film EN,24,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C008,VND-F002,Film VI,Film EN,VND-S00024,R01,Phòng 1,Room 1,2025-11-27 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
42,v4,4,VNPAY,user42,fb44d98b9d56bbe49028eacc8574f571,CH04,PROMO00042,TET2025,50000,35000,15000,0,2025-12-01 17:33:29.000000,OK,1,1,TET2025,normal,3,Cinema,Cinema EN,Address,5,3,Film VI,Film EN,31,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C003,VND-F003,Film VI,Film EN,VND-S00031,R01,Phòng 1,Room 1,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
43,v4,4,VNPAY,user43,f02916fe22baf673a04bc322efd5efc1,CH04,PROMO00043,TET2025,50000,35000,15000,0,2025-11-19 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,5,3,Film VI,Film EN,9,nowShowing,Film2D,2025-12-07 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C006,VND-F003,Film VI,Film EN,VND-S00009,R01,Phòng 1,Room 1,2025-11-24 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
44,v4,4,VNPAY,user44,0d28f6929860381621e417f808a811e8,CH04,PROMO00044,TET2025,50000,35000,15000,0,2025-11-18 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,1,2,Film VI,Film EN,38,nowShowing,Film2D,2025-12-08 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C007,VND-F002,Film VI,Film EN,VND-S00038,R01,Phòng 1,Room 1,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
45,v4,1,VNPAY,user45,435fa81d2e3e34b76e40154d878de9f7,CH01,PROMO00045,TET2025,50000,35000,15000,0,2025-11-12 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,2,6,Film VI,Film EN,6,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,5,Vendor,VND-C002,VND-F006,Film VI,Film EN,VND-S00006,R01,Phòng 1,Room 1,2025-11-13 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
46,v4,7,VNPAY,user46,47a268f40a503fc100a1b3ab3413d241,CH07,PROMO00046,TET2025,50000,35000,15000,0,2025-11-23 17:33:29.000000,OK,1,1,TET2025,normal,5,Cinema,Cinema EN,Address,5,3,Film VI,Film EN,31,nowShowing,Film2D,2025-12-05 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C005,VND-F003,Film VI,Film EN,VND-S00031,R01,Phòng 1,Room 1,2025-12-07 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
47,v4,4,VNPAY,user47,8a43bbd15dc9d40eb8556bc68608a3be,CH04,PROMO00047,TET2025,50000,35000,15000,0,2025-12-09 17:33:29.000000,OK,1,1,TET2025,normal,6,Cinema,Cinema EN,Address,1,6,Film VI,Film EN,6,nowShowing,Film2D,2025-12-12 17:33:29.000000,subtitling,VER_2D_SUB,3,Vendor,VND-C006,VND-F006,Film VI,Film EN,VND-S00006,R01,Phòng 1,Room 1,2025-11-17 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
48,v4,8,VNPAY,user48,70df126f7888b99fd00f45feae219ac1,CH08,PROMO00048,TET2025,50000,35000,15000,0,2025-11-19 17:33:29.000000,OK,1,1,TET2025,normal,2,Cinema,Cinema EN,Address,3,6,Film VI,Film EN,46,nowShowing,Film2D,2025-12-11 17:33:29.000000,subtitling,VER_2D_SUB,4,Vendor,VND-C002,VND-F006,Film VI,Film EN,VND-S00046,R01,Phòng 1,Room 1,2025-12-02 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
49,v4,5,VNPAY,user49,62752906d749b398b283bb8faa750cc4,CH05,PROMO00049,TET2025,50000,35000,15000,0,2025-12-01 17:33:29.000000,OK,1,1,TET2025,normal,4,Cinema,Cinema EN,Address,2,3,Film VI,Film EN,15,nowShowing,Film2D,2025-12-06 17:33:29.000000,subtitling,VER_2D_SUB,6,Vendor,VND-C004,VND-F003,Film VI,Film EN,VND-S00015,R01,Phòng 1,Room 1,2025-11-25 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
50,v4,3,VNPAY,user50,59ea123c0d70b150939706c1ed9822e7,CH03,PROMO00050,TET2025,50000,35000,15000,0,2025-11-30 17:33:29.000000,OK,1,1,TET2025,normal,7,Cinema,Cinema EN,Address,2,4,Film VI,Film EN,9,nowShowing,Film2D,2025-12-09 17:33:29.000000,subtitling,VER_2D_SUB,1,Vendor,VND-C007,VND-F004,Film VI,Film EN,VND-S00009,R01,Phòng 1,Room 1,2025-11-23 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f
